Name,Barcode,C. Code,Supplier,Product Type,Category,Sub Category,Aging,Target,final price,Final PUR,Status
F008030,F008030,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,399,149.3752789,2. Barcode Printed
F008008,F008008,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,,299,94.54131578,2. Barcode Printed
F008011,F008011,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,,1299,316.7134079,2. Barcode Printed
F008012,F008012,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,,499,89.81424999,2. Barcode Printed
F008013,F008013,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,,499,127.6307763,2. Barcode Printed
F008014,F008014,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,,399,118.1766447,2. Barcode Printed
F008018,F008018,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,,499,146.5390395,2. Barcode Printed
F008033,F008033,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,,1499,368.7111315,2. Barcode Printed
F008038,F008038,23Q5,LA PARAH,LAPTOP HANDBAGS,BAGS & WALLETS,LAPTOP BAGS,24Q1,ALL,1399,245.807421,2. Barcode Printed
F008039,F008039,23Q5,LA PARAH,LAPTOP HANDBAGS,BAGS & WALLETS,LAPTOP BAGS,24Q1,ALL,1399,406.5276579,2. Barcode Printed
F008041,F008041,23Q5,LA PARAH,LAPTOP HANDBAGS,BAGS & WALLETS,LAPTOP BAGS,24Q1,ALL,1399,264.7156842,2. Barcode Printed
F008052,F008052,23Q5,LA PARAH,JEWELLERY BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,1149,434.8900526,2. Barcode Printed
F008054,F008054,23Q5,LA PARAH,STORAGE BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,299,104.540878,2. Barcode Printed
F008055,F008055,23Q5,LA PARAH,STORAGE BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,499,125.4490536,2. Barcode Printed
F008048,F008048,23Q5,LA PARAH,JEWELLERY BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,1149,434.8900526,2. Barcode Printed
